12,Central 2,121108,BAKATEAM SDN BHD,222116,BAKATEAM SDN BHD,Dlr,3S,211,112.23,119.44,125.36,,5.08,7.71,0.00,1792,111.17,158.27,32.44,109.85,87.41,133.00,38.04,53.07,28.70,81.78,102,16,B,B
13,Central 2,121180,ROHAMAS PRO AUTOSERV SDN BHD,222109,ROHAMAS PRO AUTOSERV SDN.BHD,Dlr,3S,90,100.00,85.14,118.70,,0.00,10.42,0.00,986,109.56,111.00,32.10,109.16,111.63,196.55,49.90,47.00,32.66,79.66,118,17,C,C
14,Central 2,121177,MERPATI AUTO SERVICES SDN BHD,221088,MERPATI AUTO SERVICES SDN BHD,Dlr,3S,126,110.53,104.29,55.58,,0.00,1.39,0.00,1297,100.08,101.34,33.95,69.01,103.06,80.60,45.21,46.52,18.36,64.88,126,18,D,D
15,Central 2,121084,DMM SALES SDN BHD(SELAYANG),221042,DMM SALES SDN BHD (SELAYANG),Dlr,1+2S,140,106.87,139.66,158.24,,118.18,72.29,0.00,1111,96.27,83.10,45.39,66.24,88.70,189.74,48.92,60.14,37.72,97.86,51,6,A,A
16,Central 2,121116,EXCELLENT DEAL (M) SDN BHD,221118,EXCELLENT DEAL (M) SDN BHD,Dlr,1+2S,215,100.47,97.29,137.96,,60.34,70.63,0.00,1980,127.25,139.11,50.59,95.76,146.55,200.00,59.22,60.00,37.31,97.31,54,7,A,A
17,Central 2,121072,DMM SALES SDN BHD(PJ),221038,DMM SALES SDN BHD (PETALING JAYA),Dlr,1+2S,132,113.79,133.33,129.68,,52.46,50.22,0.00,1041,94.29,83.23,34.05,47.09,40.81,192.31,48.28,52.29,33.68,85.97,82,13,A,A
18,Central 2,522105,PSSB PUTRA JAYA,622105,PUTRAJAYA,Brh,1+2S,191,120.89,137.67,54.59,,84.00,126.67,103.03,2431,112.08,111.25,60.67,125.81,154.05,198.46,47.47,76.81,26.11,102.92,87,14,B,B
1,Central 2,522109,PSSB KOTA DAMANSARA,666666,,Brh,1S,116,107.41,142.58,157.42,,89.29,115.83,86.96,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.23,47.22,123.45,6,1,A,C
2,Central 2,522111,PSSB PANDAN PRIMA,666666,,Brh,1S,113,113.00,144.63,143.46,,78.18,105.71,100.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.29,43.04,120.32,8,2,A,C
3,Central 2,121073,DMM SALES SDN BHD(MID VALLEY),222222,,Dlr,1S,135,109.76,150.13,106.78,,91.84,65.42,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.58,32.03,92.61,15,3,B,C
4,Central 2,121044,P2 AUTOMOBILE SDN BHD,222222,,Dlr,1S,113,106.60,129.53,139.14,,44.12,56.94,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.13,41.74,92.87,21,4,C,C
5,Central 2,122152,FARESH MOTOR (M) SDN BHD,222222,,Dlr,1S,119,104.39,135.46,130.96,,30.56,54.44,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.81,39.29,89.10,24,5,C,C
6,Central 2,122065,SUASA SURIA SDN BHD,222222,,Dlr,1S,115,105.51,125.46,138.28,,32.35,20.56,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.28,41.49,86.76,26,6,C,C
7,Central 2,121046,JAHIM AUTO SDN BHD,222222,,Dlr,1S,115,101.77,108.91,121.49,,71.88,33.33,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.67,36.45,84.11,28,7,C,D
8,Central 2,122154,HAJOON SDN BHD KERAMAT (KMT),222222,,Dlr,1S,116,107.41,123.29,125.44,,21.88,13.61,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.54,37.63,81.17,30,8,C,C
9,Central 2,121045,G.A. TRADING SDN BHD,222222,,Dlr,1S,133,94.33,128.68,126.15,,7.50,1.11,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.73,37.85,76.57,36,9,C,C
10,Central 2,122156,INGRESS MOTORS SDN BHD,222222,,Dlr,1S,61,67.78,71.13,122.31,,0.00,2.50,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.45,36.69,61.15,40,10,C,D
11,Central 2,121112,RANGKA RAYA SDN BHD,222222,,Dlr,1S,142,103.65,151.70,101.75,,44.12,75.28,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.54,30.53,86.07,44,11,D,D
12,Central 2,122114,MERPATI HASIL SDN BHD,222222,,Dlr,1S,223,118.62,104.77,113.00,,30.00,20.31,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.86,33.90,78.76,47,12,D,D
13,Central 2,121053,RODA KAYANGAN SALES SDN BHD,222222,,Dlr,1S,146,101.39,88.02,108.01,,35.90,76.39,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.40,32.40,77.81,48,13,D,D
